X,L,Y,G
-0.28221188016206045,-0.7719559736331068,0,0
-0.096197102040602,-0.9793388338015568,0,0
-0.8731862594016554,0.35024725839434956,1,1
1.2194393189761423,-0.38315929314974656,1,1
-1.138128271568733,-0.10399947989023521,0,1
1.0095249952334049,1.5450127514848768,1,1
-0.393464011028694,0.030108388204038494,0,0
-0.19991544797148675,0.700734824449711,1,1
0.030323907123024046,0.18006227342049785,0,1
0.7596240443064013,0.2560530710807219,0,1
0.98427863166923,-0.5178003337237624,1,0
-1.5020778843519664,-1.5087576471436588,0,0
-0.6986605552506915,-0.8279310099415552,0,1
-0.16176487415412924,-1.2644611431968547,1,1
1.2057610630519258,-0.28036436617989213,0,1
0.12827852473041967,-0.9195356999666802,1,0
0.9053351048624081,1.218008037060088,1,0
0.23586734764416764,0.575682853303207,0,0
-1.300266465479446,-0.4194643664257816,0,0
0.1878087100616836,0.5070555029279556,1,0
-1.4436409064745601,-1.4766740719405478,0,1
-0.41411958512746627,-0.3149668459592254,0,0
0.7512717578776811,0.9439741594974311,1,0
1.3359716086214726,0.43716167026490965,1,1
0.8155987841796912,0.731613344935373,1,1
-1.8352984476707987,-0.4330906250541692,0,0
0.21183204331401512,0.9840228617723406,1,0
-0.17837336985274668,-0.06354659343817515,0,0
-0.00836023691213511,-1.1236303217882242,0,0
1.5456785320887536,-0.28765317427986803,1,0
0.697144353557672,-1.21423075878722,1,0
-2.763442379827306,-1.531767049121759,0,0
-1.3657158101771683,-2.058539322591206,0,0
-0.4032605383085308,-1.067004412944803,0,0
-0.23563712671859008,-0.08511127516408909,1,0
0.4228784263038947,-1.2234177306952763,0,0
1.1598084614524082,0.45076717794646737,1,0
1.804713760816179,1.199111088528703,0,1
-0.97102169672289,-1.0728375597216395,0,0
-0.3619723465674639,-0.13371343689760187,1,1
-0.264109676420647,-0.8249232947247362,0,0
0.9187783327985887,1.9469282633227938,0,1
1.6815081478270295,-0.7932155493947393,0,1
-0.4820661277368231,-0.34251242335314036,0,0
-0.7554555595638803,-1.1659348935252607,0,1
-0.7860497218069765,-1.8456480185062605,0,0
0.8716987541887312,0.22679900044820922,0,1
-0.28423987056702815,-0.6762518778703942,1,0
-0.6951748372590183,0.7231728545741849,1,0
0.13882281020236464,2.0148663211317284,1,1
0.36930952519530613,0.34111915044963786,1,1
-2.0111506220763085,-1.1052961490127478,0,0
-0.5220366992709838,0.3035090136880315,0,1
0.5205854373388088,-0.019128573064426946,1,0
1.338666557735713,0.6580067506469616,1,0
-0.20930782895168876,-0.23569907263780163,1,0
-0.7646102024758976,-0.590167963976798,1,0
-1.9579852048317619,-0.20239416122428427,0,1
-1.5401533062961237,-1.1522983098882018,0,0
2.230099227627502,0.49692378825036676,1,1
-0.27932717429626003,0.7580767490877808,0,0
0.7966690409993316,2.021688439330467,1,0
-0.3753533248846824,0.245335654911567,0,0
-1.6386897044817024,0.07710687340859423,0,0
0.07509972338556453,0.06936131259795758,1,1
1.6793458541614585,1.0768097548878586,1,1
-1.0768882791829746,-0.6289970480309719,0,0
-1.0404711595068654,-1.2056958306755459,0,0
-0.39860538665621714,-0.14349806715364294,1,0
1.0119800551762452,1.1344609736873301,1,1
0.4903313812961538,-0.9398194077810045,0,1
1.9080697220847325,0.7556585461655395,1,0
1.0961177555351655,-0.7988292095661305,1,1
-1.8917638315260277,-1.21574022456285,0,0
-0.8818241855031433,-1.203053530160615,1,0
-0.14138729575500464,-0.7754568428668318,0,0
-0.3023751153400289,-0.8696618852358694,0,0
-0.7092058981559928,0.26621492012345294,1,1
-0.6597784317355959,-0.5852366862240402,1,1
-1.1877780057029532,0.34413565535834245,1,0
-1.569413762469694,0.4726073037219798,0,0
0.4528782817993309,-1.740329280560184,0,0
0.15734688693472418,-0.21708142470880792,1,1
-2.1934500203535103,-2.235540464952031,0,0
-1.7207863846212659,-0.7485101285671537,1,1
-2.388623228337483,-0.8940970530257579,0,0
-0.34004382525676313,-0.15460322231741908,1,0
-0.9551998465638329,1.0512021267078324,0,1
-0.6583251727954227,0.48797351320838467,1,0
-0.17587258239279768,-0.7969596913778524,0,0
0.05021486647108253,0.6794209105727707,1,1
0.9402858268727569,0.766897154470848,0,1
-1.3414915436010981,-1.5539212655749157,0,0
0.36623963947863325,0.04486020999808993,1,1
0.10224662920712746,1.2378719739688009,1,1
-0.774397062876846,-0.6030908674011102,1,0
-0.2836687602024511,-0.011228520825854349,0,1
0.038696001042608286,-2.347491255142357,0,0
0.8388873482263364,0.04551787857076106,0,1
0.43115818681990536,0.670224845114973,1,1
0.3064384277295334,0.574877101888777,1,0
0.8700127023914431,1.3917916744325214,1,1
0.6403592146429002,-0.8752668320594675,1,0
0.7258105473910126,1.5211733457701526,1,1
-0.08185149536413881,0.7315714521521776,0,0
-0.5019532347961935,1.2896332849489434,1,1
-0.43755557831676506,0.4614914812112009,1,1
-2.1727331329449644,-1.6294060078237702,0,1
1.0618586374864205,0.8315542571512177,1,0
0.6869957616900333,-0.42479957984858363,0,0
1.378506749219818,0.37078657830899625,1,1
1.566894136553754,1.3004385073828852,1,0
-1.412933261939186,-0.4253728144980912,0,0
-0.9588507165070218,-0.7318754403666138,1,0
-0.0650383330681101,0.17246317554655213,0,1
0.8165054544953532,-1.2146964534264475,1,1
0.06249727130947298,-0.7654210338131944,0,1
-0.488823247835095,0.27477087311223225,0,0
-0.9216778392081462,-1.7729250974525719,0,0
0.17812740479854014,-0.22195745231101474,0,1
-1.7983932494433366,0.3707222685163929,0,0
0.11860178082878658,-0.6748983646797266,1,0
-0.8908300039132435,1.6767705275028202,1,0
-0.25347462554857547,-1.1734454745576233,0,0
0.5972443252767619,0.17641588574220268,1,1
2.2823959422314912,-0.6910665256633024,1,1
1.3296632172681488,1.5727597211243218,1,1
0.5127855736504268,-1.9019373022852581,0,0
1.832603502410755,0.6127443479943497,1,1
0.08619112492251102,0.9070949920765929,1,1
-1.3605595334989649,-0.27101448948491946,0,0
-0.523613986285563,-1.3696212100447842,0,1
-1.0403561807635369,-0.697391022526545,0,1
-0.783243374846887,2.201248224337779,1,1
-2.120074497822588,-0.6375222627551065,0,0
0.5652711930193149,1.1922586441720244,1,1
0.25195906487433734,0.02511740761097614,0,1
-0.344981578164749,-1.0107710356253157,1,0
0.5691322030709802,0.42645100288704346,0,0
-0.7403653818737543,0.7537381297917698,0,1
0.12868642276764686,0.6999081058851806,1,1
1.705709724771536,-0.08670578227692893,1,1
-0.241027275679008,0.5797906243795826,1,1
1.8504803354934856,1.4265335551223983,1,0
-0.12031883251944687,1.136849376877332,1,0
-0.3248596968544706,0.21354775227854073,0,0
1.3275577926636728,0.17667329302579826,1,1
-1.0261686302593804,-1.0393853293410245,0,1
-0.4191055084645977,-1.3759016350947382,1,0
-0.3128528985936946,0.22299583891209598,1,0
1.1445317217069941,1.9255723239548788,1,1
-0.3862811372087454,-0.5562530504612451,1,0
-0.8215516601862812,-0.06547651248906633,1,1
0.20686378644370962,0.42638314002027145,0,1
0.508293681622626,-0.5542211674600505,0,1
-0.05985872713479795,0.9604685612490542,0,0
-2.3351368655258766,-1.3612007983819105,0,1
0.504949707494877,0.9985648021492924,1,0
-0.5767422496598655,0.7554971206810037,0,0
0.9379369490246746,-0.15743193688812274,0,1
-0.5002422180023032,1.138491792141858,0,1
0.8929249341581139,-0.6095836705790207,0,0
1.1013704431774038,-0.7298920207713727,1,1
-0.3484318937859117,0.9125365758235398,0,1
0.4207409952507576,0.6467810837734462,1,1
0.6897616017294459,0.028825627852256536,0,0
-1.2586940132082178,-0.6182557517373577,0,1
2.384249298001218,1.2025536116653552,1,0
-0.6949930745125897,-1.4109966107169716,0,0
-0.16902008141713346,0.07170833526833742,0,1
-0.713887191844749,1.3628203089937625,0,0
-0.9569537845173921,-2.7507100504301643,0,1
-0.8092267139177366,0.26773034843614424,0,1
-1.1671067915849305,-0.7276351087351076,0,1
2.3822996226710886,-0.012341160682775909,1,1
-0.8579938071767965,0.6522236201425626,0,0
-1.9183770311340793,-1.4928415555824983,0,0
0.7998739869812973,-0.6586618541015224,0,0
-1.2473455296345393,0.18426761676617967,1,1
0.2219283705980215,0.5715343763443763,0,1
1.0056774630538645,0.2322418911178874,1,1
0.7210763758584318,-0.08203101171597776,1,0
0.570286873415705,-0.29957857439244934,1,1
-1.7700776365216977,-0.28130321004710673,0,0
-0.6785537972362881,-0.5160589777154972,0,0
-0.3071414961100026,0.7302329827557164,0,0
-1.1026194889395997,-0.7534854120002621,0,0
-1.0627017608139075,1.2725018830709782,0,0
0.20389131877419936,-0.5639782608374976,0,1
-0.01050665100849374,0.06632016005572328,0,1
-0.07146145799330861,-1.5702060536756046,0,1
-0.14778465926763795,0.860257449460387,1,1
-1.6334169247804253,-0.039638306626898365,0,1
-1.1677170974740756,-0.19214381431160116,1,1
